activity,Proposal activity
antimicrobial,Antimicrobial
anti gram positive,Anti gram positive
anti gram negative,Anti gram negative
toxic,Toxic
neuropeptide,Neuropeptide
anti mammalian cell,Anti mammalian cell
hormone,Hormone
antifungal,Antifungal
antibacterial,Antibacterial
antiviral,Antiviral
anticancer,Anticancer
anti inflammatory,Anti inflamatory
anti bacterial,Antibacterial
cytokines / growth factor,Cytokine
inhibitor,Inhibitor
enzyme inhibitor,Enzyme inhibitor
anuran defense,Anuran defense
anti hypertensive,Anti hypertensive
drug delivery vehicle,Drug delivery vehicle
ace inhibitor,Angiotensin-converting enzyme (ACE) inhibitors
cell penetrating,Cell penetrating
hemolytic,Hemolytic
allergen,Allergen
antidiabetic,Antidiabetic
anti hiv,Anti HIV
immunogenic celiac,Gluten immunogenic
antioxidative,Antioxidative
anti candida,Anti candida
anti parasitic,Antiparasitic
cell cell communication,Cell cell communication
anti type 1 diabetes,Antidiabetic type 1
blood brain barrier penetrating,Blood brain barrier penetrating
dipeptidyl peptidase iv inhibitor,Dipeptidyl peptidase inhibitor
anti biofilm,Antibiofilm
anti type 2 diabetes,Antidiabetic type 2
signal,Signal peptide
tumor homing,Tumor homing
anti tubercular,Anti tuberculosis
quorum sensing,Quorum sensing
anti mrsa,Anti methicillin-resistant S. aureus
tumor targeting,Tumor targeting
insecticidal,Insecticidal
cytotoxic,Cytotoxic
celiac toxic,Celiac toxic
potentiator,Other
anti angiogenic,Anti angiogenic
taste,Taste
anti freeze,Other
immunoregulator,Immunoregulator
opioid,Opioid
dna binding,DNA-binding
immunomodulatory,Immunomodulatory
anti coronavirus,Anti-coronoavirus
stimulating,Other
antitumor,Antitumor 
anti endotoxin,Anti endotoxin
anti insect,Insecticidal
bacteriocin,Bacteriocin
anti nematode,Anti nematode
anti malarian,Antimalarial
alpha glucosidase inhibitor,Glucosidase inhibitor
development regulator,Regulatory
chemotaxis,Chemotactic
coagulation regulator,Coagulation regulator
antithrombotic,Antithrombotic
chemotactic,Chemotactic
dipeptidyl peptidase iii inhibitor,Dipeptidyl peptidase inhibitor
antiprotozoal,Antiprotozoal
antiamnestic,Antiamnesic
binding,Molecular binding
pheromone,Pheromone
camkii inhibitor,Inhibitor
regulating,Regulatory
surface immobilized,Surface immobilized
protease inhibitor,Protease inhibitor
wound healing,Wound healing
sperm activator,Sperm activating
insecticide,Insecticidal
ralf rapid alkalinization factor,RALF-binding
alpha amylase inhibitor,Amylase inhibitor
anti mollicute,Anti mollicute
anti protista,Anti protist
renin inhibitor,Angiotensinase inhibitor
antibiofilm,Antibiofilm
anthelmintic,Anti nematode
hypotensive,Anti hypotensive
cgmp activator,Enzyme activator
enzyme activator,Enzyme activator
antiplasmodial,Antimalarial
hmg coa reductase inhibitor,Enzyme inhibitor
enzymatic digestion,Other
spermicide,Antimicrobial
ligand binding,Molecular binding
antifreeze,Antifreeze
aggregation regulator,Regulator
behavior regulator,Regulator
heparin binding,Molecular binding
biosynthesis inhibitor,Inhibitor
anti toxin,Toxic
antibiotic,Antibacterial
heavy metal binding,Molecular binding
immunostimulating,Immunological
pancreatic lipase inhibitor,Enzyme inhibitor
hemopoietic,Immunological
estrogen like activity,Hormone
peptide precursor,Propeptide
precursor,Propeptide
enzymatic degradation,Metabolic
immunosuppressive,Immunological
cytolytic,Metabolic
hemotaxis regulator,Regulator
campde inhibitor,Inhibitor
opioid agonist,Opioid
antihcv,Antiviral
chemotaxis regulator,Regulator
biosynthesis activator,Activator
contracting,Other
chemical and enzymatic digestion,Metabolic
thermal,Sensorial
membrane active peptide,Activator
anti allergen,Allergen
mitogenic,Other
antiyeast,Antifungal
cart peptide,Regulator
anti proliferative,Anticancer
lipoxygenase inhibitor,Enzyme inhibitor
ache inhibitor,Enzyme inhibitor
protein binding,Molecular binding
osteoanabolic,Therapeutic
hiv 1 reverse transcriptase inhibition,Enzyme inhibitor
cyclooxygenase inhibitor,Enzyme inhibitor
ribonucleoprotein,Other
photosynthesis participant,Other
antidote,Therapeutic
protein dimerization activator,Activator
cell aggregation inhibitor,Inhibitor
receptor ligand,Molecular binding
ion channel inhibitor,Inhibitor
uterotonic,Therapeutic
opioid antagonist,Opioid
hypolipidemic,Therapeutic
molluscicidal,Antimicrobial
cyclooxygenase 1 inhibitor,Enzyme inhibitor
stimulator of hormone synthesis,Hormone
anti feedant,Toxic
pathogenic,Other
tyrosinase inhibitor,Enzyme inhibitor
defense gene activator,Activator
hypocholesterolemic,Homeostasis
cyclooxygenase 2 inhibitor,Enzyme inhibitor
ligand binding inhibitor,Inhibitor
precipitation inhibitor,Inhibitor
immunogenic,Immunological
gene expression activator,Activator
membrane binding,Molecular binding
cell aggregation regulator,Regulator
transporter,Drug delivery vehicle
diuretic,Homeostasis
chaperone,Other
apoptosis regulator,Regulator
receptor stimulating,Molecular binding
antinociceptive,Toxic
pheromone inhibitor,Inhibitor
anti protist,Anti protist
vasoconstrictor,Vascular
anti amnestic,Antiamnesic
dpp iv inhibitor,Enzyme inhibitor
enzyme synthesis activator,Activator
hypotriglyceridemic,Hormone
hormone secretion regulator,Regulator
mast cell degranulating,Immunological
defensive proteinase inhibitor,Enzyme inhibitor
embryotoxic,Toxic
enzyme substrate,Metabolic
antineurotensive,Neurological
defense activator,Activator
activating ubiquitin mediated proteolysis,Activator
neuroprotective,Neurological
trypsin inhibitor,Inhibitor
bacterial permease ligand,Molecular binding
bche inhibitor,Enzyme inhibitor
tyrosinase and melanin inhibitor,Enzyme inhibitor
protein inhibitor,Inhibitor
proteolytic,Other
wide spectrum,Antibacterial
vasorelaxant,Vascular
sex pheromone inhibitor,Inhibitor
ion transport inhibitor,Inhibitor
sex regulator,Regulator
calpain 2 inhibitor,Inhibitor
anxiolytic like activity,Therapeutic
peptide inhibitor,Inhibitor
anti chaperone,Other
phagocytosis stimulatory peptide,Other
ecdysiotropic,Other
metal binding,Molecular binding
enzyme degradation regulator,Regulator
anorexic,Therapeutic
synthesis stimulator,Other
receptor antagonist,Other
gene expression regulator,Regulator
proliferation regulator,Regulator
protein binding inhibitor,Inhibitor
antilisterial,Bacteriocin
salt precipitation inhibitor,Inhibitor
phylotaxis regulator,Regulator
sodium channel blocker,Therapeutic
protein synthesis inhibitor,Inhibitor
protein translation inhibitor,Inhibitor
plasma anti clotting,Therapeutic
cell transport regulator,Regulator
antihsv,Antiviral
antiallodynic,Therapeutic
photosynthesis inhibitor,Inhibitor
anti analgesic,Therapeutic
pore forming,Other
anti apoptotic,Other
ichthyotoxic,Toxic
bile acid binding inhibitor,Inhibitor
cell growth inhibitor,Inhibitor
camp generating,Other
protein kinase c inhibitor,Enzyme inhibitor
protein transport inhibitor,Inhibitor
proteolysis activator,Other
chromatin assembly or disassembly,Other
glp intervening,Other
paralytic,Other
gene expression stimulator,Other
reductant,Other
fibrinolytic,Therapeutic
resistance activity,Other
competence peptide,Other
ca2 level regulator,Regulator
neurotensin inhibitor,Inhibitor
induction factor,Other
edema inducer,Therapeutic
antihyperglycemic,Metabolic
sperm attracting,Other
smooth muscles contracting peptide,Other
enzyme,Other
sporulation regulator,Regulator
anti barnacle,Other
antireproductive,Other
transcription factor,Other
transport stimulating,Other
dna repair,Other
insulin binding protein,Molecular binding
cytoprotective,Other
vascular permeability enhancing,Vascular
serine protease inhibitor,Enzyme inhibitor
natriuretic,Therapeutic
salivation stimulator,Taste
ribosome inactivating,Regulator
neurotrophic factor,Therapeutic
neutrophil inhibitor,Inhibitor
memory regulator,Regulator
orphan receptor gpr14 agonist,Therapeutic
transit,Transit
propeptide,Propeptide
neurotoxin,Neurotoxin
stimulator,Other
dermonecrotic,Other
lectin,Other
antiarrhythmic,Other
protease activity,Other
presynaptic neurotoxin,Neurotoxin
hyaluronidase activity,Other
kinin like,Other